[INFO ] 2015-11-23 21:27:32,087 com.readtxt.Sentence - *************合成进度*************25
[INFO ] 2015-11-23 21:27:32,289 com.readtxt.Sentence - *************合成进度*************56
[INFO ] 2015-11-23 21:27:32,333 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:32,336 com.readtxt.Sentence - Thread-5start
[INFO ] 2015-11-23 21:27:32,336 com.readtxt.Sentence - Thread-5
[INFO ] 2015-11-23 21:27:32,336 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:32,336 com.readtxt.Sentence - 合成音频生成路径：2_1.wav
[INFO ] 2015-11-23 21:27:32,362 com.readtxt.Sentence - 成功删除文件2_1.wav
[INFO ] 2015-11-23 21:27:32,363 com.readtxt.Sentence - Thread-5 end 
[INFO ] 2015-11-23 21:27:32,547 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:32,550 com.readtxt.Sentence - Thread-7start
[INFO ] 2015-11-23 21:27:32,550 com.readtxt.Sentence - Thread-7
[INFO ] 2015-11-23 21:27:32,550 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:32,550 com.readtxt.Sentence - 合成音频生成路径：2_2.wav
[INFO ] 2015-11-23 21:27:32,570 com.readtxt.Sentence - 成功删除文件2_2.wav
[INFO ] 2015-11-23 21:27:32,571 com.readtxt.Sentence - Thread-7 end 
[INFO ] 2015-11-23 21:27:32,768 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:32,771 com.readtxt.Sentence - Thread-9start
[INFO ] 2015-11-23 21:27:32,771 com.readtxt.Sentence - Thread-9
[INFO ] 2015-11-23 21:27:32,772 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:32,772 com.readtxt.Sentence - 合成音频生成路径：2_3.wav
[INFO ] 2015-11-23 21:27:32,796 com.readtxt.Sentence - 成功删除文件2_3.wav
[INFO ] 2015-11-23 21:27:32,797 com.readtxt.Sentence - Thread-9 end 
[INFO ] 2015-11-23 21:27:32,976 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:32,979 com.readtxt.Sentence - Thread-11start
[INFO ] 2015-11-23 21:27:32,979 com.readtxt.Sentence - Thread-11
[INFO ] 2015-11-23 21:27:32,980 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:32,980 com.readtxt.Sentence - 合成音频生成路径：2_4.wav
[INFO ] 2015-11-23 21:27:33,003 com.readtxt.Sentence - 成功删除文件2_4.wav
[INFO ] 2015-11-23 21:27:33,006 com.readtxt.Sentence - Thread-11 end 
[INFO ] 2015-11-23 21:27:35,636 com.readtxt.Sentence - *************合成进度*************34
[INFO ] 2015-11-23 21:27:37,639 com.readtxt.Sentence - *************合成进度*************78
[INFO ] 2015-11-23 21:27:38,389 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:38,392 com.readtxt.Sentence - Thread-13start
[INFO ] 2015-11-23 21:27:38,392 com.readtxt.Sentence - Thread-13
[INFO ] 2015-11-23 21:27:38,392 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:38,392 com.readtxt.Sentence - 合成音频生成路径：3_1.wav
[INFO ] 2015-11-23 21:27:38,412 com.readtxt.Sentence - 无法删除文件3_1.wav，可能被占用
[INFO ] 2015-11-23 21:27:38,413 com.readtxt.Sentence - Thread-13 end 
[INFO ] 2015-11-23 21:27:38,703 com.readtxt.Sentence - *************合成进度*************22
[INFO ] 2015-11-23 21:27:38,794 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:38,798 com.readtxt.Sentence - Thread-15start
[INFO ] 2015-11-23 21:27:38,798 com.readtxt.Sentence - Thread-15
[INFO ] 2015-11-23 21:27:38,799 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:38,799 com.readtxt.Sentence - 合成音频生成路径：4_1.wav
[INFO ] 2015-11-23 21:27:38,828 com.readtxt.Sentence - 成功删除文件4_1.wav
[INFO ] 2015-11-23 21:27:38,829 com.readtxt.Sentence - Thread-15 end 
[INFO ] 2015-11-23 21:27:39,688 com.readtxt.Sentence - *************合成进度*************18
[INFO ] 2015-11-23 21:27:40,903 com.readtxt.Sentence - *************合成进度*************80
[INFO ] 2015-11-23 21:27:41,243 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:41,246 com.readtxt.Sentence - Thread-17start
[INFO ] 2015-11-23 21:27:41,246 com.readtxt.Sentence - Thread-17
[INFO ] 2015-11-23 21:27:41,246 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:41,246 com.readtxt.Sentence - 合成音频生成路径：5_1.wav
[INFO ] 2015-11-23 21:27:41,262 com.readtxt.Sentence - 成功删除文件5_1.wav
[INFO ] 2015-11-23 21:27:41,263 com.readtxt.Sentence - Thread-17 end 
[INFO ] 2015-11-23 21:27:41,536 com.readtxt.Sentence - *************合成进度*************20
[INFO ] 2015-11-23 21:27:41,591 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:41,592 com.readtxt.Sentence - Thread-19start
[INFO ] 2015-11-23 21:27:41,593 com.readtxt.Sentence - Thread-19
[INFO ] 2015-11-23 21:27:41,593 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:41,593 com.readtxt.Sentence - 合成音频生成路径：6_1.wav
[INFO ] 2015-11-23 21:27:41,622 com.readtxt.Sentence - 无法删除文件6_1.wav，可能被占用
[INFO ] 2015-11-23 21:27:41,623 com.readtxt.Sentence - Thread-19 end 
[INFO ] 2015-11-23 21:27:41,965 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:41,969 com.readtxt.Sentence - Thread-21start
[INFO ] 2015-11-23 21:27:41,970 com.readtxt.Sentence - Thread-21
[INFO ] 2015-11-23 21:27:41,970 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:41,970 com.readtxt.Sentence - 合成音频生成路径：7_1.wav
[INFO ] 2015-11-23 21:27:41,995 com.readtxt.Sentence - 无法删除文件7_1.wav，可能被占用
[INFO ] 2015-11-23 21:27:41,996 com.readtxt.Sentence - Thread-21 end 
[INFO ] 2015-11-23 21:27:43,024 com.readtxt.Sentence - *************合成进度*************45
[INFO ] 2015-11-23 21:27:43,489 com.readtxt.Sentence - *************合成进度*************68
[INFO ] 2015-11-23 21:27:43,767 com.readtxt.Sentence - *************合成进度*************83
[INFO ] 2015-11-23 21:27:43,935 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:43,938 com.readtxt.Sentence - Thread-23start
[INFO ] 2015-11-23 21:27:43,938 com.readtxt.Sentence - Thread-23
[INFO ] 2015-11-23 21:27:43,938 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:43,939 com.readtxt.Sentence - 合成音频生成路径：8_1.wav
[INFO ] 2015-11-23 21:27:43,959 com.readtxt.Sentence - 成功删除文件8_1.wav
[INFO ] 2015-11-23 21:27:43,961 com.readtxt.Sentence - Thread-23 end 
[INFO ] 2015-11-23 21:27:44,360 com.readtxt.Sentence - *************合成进度*************5
[INFO ] 2015-11-23 21:27:45,059 com.readtxt.Sentence - *************合成进度*************17
[INFO ] 2015-11-23 21:27:45,647 com.readtxt.Sentence - *************合成进度*************26
[INFO ] 2015-11-23 21:27:46,055 com.readtxt.Sentence - *************合成进度*************38
[INFO ] 2015-11-23 21:27:46,928 com.readtxt.Sentence - *************合成进度*************51
[INFO ] 2015-11-23 21:27:47,326 com.readtxt.Sentence - *************合成进度*************66
[INFO ] 2015-11-23 21:27:47,544 com.readtxt.Sentence - *************合成进度*************71
[INFO ] 2015-11-23 21:27:47,974 com.readtxt.Sentence - *************合成进度*************82
[INFO ] 2015-11-23 21:27:48,250 com.readtxt.Sentence - *************合成进度*************88
[INFO ] 2015-11-23 21:27:48,508 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:48,511 com.readtxt.Sentence - Thread-25start
[INFO ] 2015-11-23 21:27:48,511 com.readtxt.Sentence - Thread-25
[INFO ] 2015-11-23 21:27:48,512 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:48,512 com.readtxt.Sentence - 合成音频生成路径：9_1.wav
[INFO ] 2015-11-23 21:27:48,528 com.readtxt.Sentence - 成功删除文件9_1.wav
[INFO ] 2015-11-23 21:27:48,530 com.readtxt.Sentence - Thread-25 end 
[INFO ] 2015-11-23 21:27:48,992 com.readtxt.Sentence - *************合成进度*************3
[INFO ] 2015-11-23 21:27:49,715 com.readtxt.Sentence - *************合成进度*************50
[INFO ] 2015-11-23 21:27:50,077 com.readtxt.Sentence - *************合成进度*************74
[INFO ] 2015-11-23 21:27:50,271 com.readtxt.Sentence - *************合成进度*************85
[INFO ] 2015-11-23 21:27:50,490 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:50,492 com.readtxt.Sentence - Thread-27start
